Timestamp,No,x,y,z
2025-09-03 13:28:15,382, -3776, -22600, 7984
2025-09-03 13:28:15,383, -2196, -22808, 9400
2025-09-03 13:28:16,384, -3576, -13856, 2924
2025-09-03 13:28:16,385, -2436, -3784, -4700
2025-09-03 13:28:16,386, -4076, 8888, -1472
2025-09-03 13:28:16,387, -328, 21196, 2588
2025-09-03 13:28:16,388, -3436, 25836, 14344
2025-09-03 13:28:16,389, -2968, 30924, 14324
2025-09-03 13:28:16,390, -4836, 21160, 11520
2025-09-03 13:28:16,391, -4580, 11156, 3152
2025-09-03 13:28:16,392, -2592, 144, -4620
2025-09-03 13:28:16,393, -6688, -9772, 2356
2025-09-03 13:28:17,394, -4704, -26108, 5552
2025-09-03 13:28:17,395, -4704, -26108, 5552
2025-09-03 13:28:17,396, -2664, -32768, 8672
2025-09-03 13:28:17,397, -2664, -32768, 8672
2025-09-03 13:28:17,398, -1064, -24704, 7876
2025-09-03 13:28:17,399, -16, -20076, 5816
2025-09-03 13:28:17,400, -1032, -12084, 2264
2025-09-03 13:28:17,401, -4604, -3680, -716
2025-09-03 13:28:17,402, -4604, -3680, -716
2025-09-03 13:28:17,403, -5392, 6672, 2716
2025-09-03 13:28:18,404, -10388, 22004, 15416
2025-09-03 13:28:18,405, -12548, 31092, 21676
2025-09-03 13:28:18,406, -4736, 22668, 17572
2025-09-03 13:28:18,407, -8640, 16560, 11548
2025-09-03 13:28:18,408, -8640, 16560, 11548
2025-09-03 13:28:18,409, -9284, 5956, 380
2025-09-03 13:28:18,410, -9284, 5956, 380
2025-09-03 13:28:18,411, -8368, -6236, 2364
2025-09-03 13:28:18,412, -9516, -24036, 2884
2025-09-03 13:28:18,413, -9516, -24036, 2884
2025-09-03 13:28:19,414, -4204, -32768, 2444
2025-09-03 13:28:19,415, -4024, -26816, 8540
2025-09-03 13:28:19,416, -4024, -26816, 8540
2025-09-03 13:28:19,417, -156, -23552, 7536
2025-09-03 13:28:19,418, -156, -23552, 7536
2025-09-03 13:28:19,419, -3972, -14220, 2688
2025-09-03 13:28:19,420, -3972, -14220, 2688
2025-09-03 13:28:19,421, -5940, -5208, -1212
2025-09-03 13:28:19,422, -8232, 6392, 2192
2025-09-03 13:28:19,423, -13268, 22740, 14040
2025-09-03 13:28:20,424, -15408, 31776, 20640
2025-09-03 13:28:20,425, -6952, 24804, 17772
2025-09-03 13:28:20,426, -8292, 14432, 10444
2025-09-03 13:28:20,427, -8376, 5884, -3472
2025-09-03 13:28:20,428, -8376, 5884, -3472
2025-09-03 13:28:20,429, -10348, -8784, 3380
2025-09-03 13:28:20,430, -8252, -22724, 5508
2025-09-03 13:28:20,431, -7924, -32768, 12560
2025-09-03 13:28:20,432, -7924, -32768, 12560
2025-09-03 13:28:20,433, -5476, -26336, 10460
2025-09-03 13:28:21,434, -5476, -26336, 10460
2025-09-03 13:28:21,435, -3112, -22144, 10456
2025-09-03 13:28:21,436, -3112, -22144, 10456
2025-09-03 13:28:21,437, -4544, -14108, 5480
2025-09-03 13:28:21,438, -4544, -14108, 5480
2025-09-03 13:28:21,439, -4624, -5172, -3220
2025-09-03 13:28:21,440, -4624, -5172, -3220
2025-09-03 13:28:21,441, -5836, 4076, 1388
2025-09-03 13:28:21,442, -8444, 15100, 11996
2025-09-03 13:28:22,443, -15120, 29352, 18896
2025-09-03 13:28:22,444, -9744, 26588, 16352
2025-09-03 13:28:22,445, -7948, 18700, 14044
2025-09-03 13:28:22,446, -8452, 12168, 6280
2025-09-03 13:28:22,447, -5208, 1908, 548
2025-09-03 13:28:22,448, -3384, -11588, -1888
2025-09-03 13:28:22,449, -3384, -11588, -1888
2025-09-03 13:28:22,450, -304, -24208, -312
2025-09-03 13:28:22,451, 2616, -31664, 4704
2025-09-03 13:28:22,452, 3316, -28656, 7896
2025-09-03 13:28:23,453, 1760, -21020, 4340
2025-09-03 13:28:23,454, -1012, -9304, -3888
2025-09-03 13:28:23,455, -6384, -1524, -2880
2025-09-03 13:28:23,456, -5936, 14836, 5728
2025-09-03 13:28:23,457, -4076, 27244, 14156
2025-09-03 13:28:23,458, 1672, 25624, 14600
2025-09-03 13:28:23,459, -3632, 26160, 16152
2025-09-03 13:28:23,460, -7876, 16892, 6320
2025-09-03 13:28:23,461, -7876, 16892, 6320
2025-09-03 13:28:23,462, -8360, 5132, -480
2025-09-03 13:28:24,463, -8360, 5132, -480
2025-09-03 13:28:24,464, -10376, -10236, 1864
2025-09-03 13:28:24,465, -8944, -27500, 2604
2025-09-03 13:28:24,466, -2528, -32768, 4492
2025-09-03 13:28:24,467, -3604, -25744, 9032
2025-09-03 13:28:24,468, -220, -21664, 6256
2025-09-03 13:28:24,469, -220, -21664, 6256
2025-09-03 13:28:24,470, -5936, -11096, -784
2025-09-03 13:28:24,471, -5936, -11096, -784
2025-09-03 13:28:24,472, -11436, -112, -3540
2025-09-03 13:28:25,473, -11436, -112, -3540
2025-09-03 13:28:25,474, -8616, 13148, 4244
2025-09-03 13:28:25,475, -16536, 29332, 16812
2025-09-03 13:28:25,476, -8992, 23988, 18312
2025-09-03 13:28:25,477, 60, 15724, 10392
2025-09-03 13:28:25,478, -4304, 18164, 6808
2025-09-03 13:28:25,479, -2340, 9796, 4800
2025-09-03 13:28:25,480, 3712, -3560, 376
2025-09-03 13:28:25,481, 8132, -18940, -2532
2025-09-03 13:28:25,482, 10236, -24876, 1440
2025-09-03 13:28:26,483, 12748, -16724, 6120
2025-09-03 13:28:26,484, 6852, -6172, -1380
2025-09-03 13:28:26,485, -1348, 8168, -788
2025-09-03 13:28:26,486, -7496, 32764, 18220
2025-09-03 13:28:26,487, -7496, 32764, 18220
2025-09-03 13:28:26,488, 1156, 15608, 8772
2025-09-03 13:28:26,489, 1156, 15608, 8772
2025-09-03 13:28:26,490, 624, -15320, -2160
2025-09-03 13:28:26,491, 624, -15320, -2160
2025-09-03 13:28:26,492, 9444, -27480, -7880
2025-09-03 13:28:27,493, 11064, -19176, 5292
2025-09-03 13:28:27,494, 8108, -7432, 2388
2025-09-03 13:28:27,495, -44, 14272, 2320
2025-09-03 13:28:27,496, -5968, 32764, 14396
2025-09-03 13:28:27,497, 8772, -17724, 2704
2025-09-03 13:28:27,498, 14920, -25140, -2644
2025-09-03 13:28:27,499, 1044, 31792, 13728
2025-09-03 13:28:27,500, 1044, 31792, 13728
2025-09-03 13:28:27,501, 10044, -13708, 3368
2025-09-03 13:28:27,502, 13472, -24752, -252
2025-09-03 13:28:28,503, 416, 32444, 13116
2025-09-03 13:28:28,504, 9808, -5772, 4968
2025-09-03 13:28:28,505, 15192, -28140, -2944
2025-09-03 13:28:28,506, -1264, 27272, 11316
2025-09-03 13:28:28,507, 3984, 9660, 10776
2025-09-03 13:28:28,508, 16664, -32768, -1736
2025-09-03 13:28:28,509, 6900, 3512, 5620
2025-09-03 13:28:28,510, 1928, 27976, 7244
2025-09-03 13:28:28,511, 10324, -29892, 936
2025-09-03 13:28:28,512, 9612, -22860, 6060
2025-09-03 13:28:29,513, 2592, 13228, 10156
2025-09-03 13:28:29,514, 1520, 27976, 4932
2025-09-03 13:28:29,515, 6428, -12700, 8164
2025-09-03 13:28:29,516, 14640, -32768, 3532
2025-09-03 13:28:29,517, 6540, -9740, 4844
2025-09-03 13:28:29,518, -876, 26776, 6892
2025-09-03 13:28:29,519, 3152, 14648, 1868
2025-09-03 13:28:29,520, 12380, -23720, 7096
2025-09-03 13:28:29,521, 13180, -25100, -512
2025-09-03 13:28:29,522, 2116, 3408, 2068
2025-09-03 13:28:30,523, -2224, 32764, 8128
2025-09-03 13:28:30,524, 1028, 19300, 12840
2025-09-03 13:28:30,525, 1168, -17216, 8320
2025-09-03 13:28:30,526, 8752, -32768, -5828
2025-09-03 13:28:30,527, 7204, -18064, 8956
2025-09-03 13:28:30,528, -136, 2684, 5568
2025-09-03 13:28:30,529, -3876, 29216, 5476
2025-09-03 13:28:30,530, -2580, 27700, 8132
2025-09-03 13:28:30,531, 5740, -8888, 12960
2025-09-03 13:28:31,532, 12012, -32768, -3044
2025-09-03 13:28:31,533, 7400, -17728, 5144
2025-09-03 13:28:31,534, 656, 9708, 8944
2025-09-03 13:28:31,535, -616, 32764, 948
2025-09-03 13:28:31,536, 9716, -3252, 6428
2025-09-03 13:28:31,537, 14388, -28892, 5636
2025-09-03 13:28:31,538, 10768, -16480, 904
2025-09-03 13:28:31,539, -1248, 14804, 10128
2025-09-03 13:28:31,540, -452, 31220, 5540
2025-09-03 13:28:31,541, 11564, -7104, 7440
2025-09-03 13:28:32,542, 15392, -29596, 2980
2025-09-03 13:28:32,543, 8744, -12316, 1368
2025-09-03 13:28:32,544, -2680, 26024, 12552
2025-09-03 13:28:32,545, 2552, 18952, 1736
2025-09-03 13:28:32,546, 11820, -19880, 6032
2025-09-03 13:28:32,547, 14568, -24772, 508
2025-09-03 13:28:32,548, 2188, 7616, 7824
2025-09-03 13:28:32,549, -1136, 32764, 2224
2025-09-03 13:28:32,550, 9600, -5156, 7512
2025-09-03 13:28:32,551, 15660, -30148, 3356
2025-09-03 13:28:33,552, 7288, -8712, 2704
2025-09-03 13:28:33,553, 384, 30640, 9032
2025-09-03 13:28:33,554, 9092, 7620, 824
2025-09-03 13:28:33,555, 13704, -24436, 6728
2025-09-03 13:28:33,556, 12128, -15012, 3424
2025-09-03 13:28:33,557, -96, 13788, 8348
2025-09-03 13:28:33,558, -2304, 32340, 6036
2025-09-03 13:28:33,559, 9628, -10624, 10096
2025-09-03 13:28:33,560, 15764, -30824, 1128
2025-09-03 13:28:33,561, 8184, -10504, 1880
2025-09-03 13:28:34,562, -2524, 32552, 14492
2025-09-03 13:28:34,563, 8352, 5244, 972
2025-09-03 13:28:34,564, 12288, -28524, 3340
2025-09-03 13:28:34,565, 11136, -17236, 2936
2025-09-03 13:28:34,566, -564, 17436, 11112
2025-09-03 13:28:34,567, 416, 24340, 6424
2025-09-03 13:28:34,568, 9108, -16860, 9056
2025-09-03 13:28:34,569, 13464, -31168, 1264
2025-09-03 13:28:34,570, 7308, -2788, 4340
2025-09-03 13:28:34,571, 1644, 30668, 12968
2025-09-03 13:28:35,572, 8452, -9300, 2632
2025-09-03 13:28:35,573, 10660, -31836, 4356
2025-09-03 13:28:35,574, 9468, -13256, 1364
2025-09-03 13:28:35,575, 568, 18908, 17884
2025-09-03 13:28:35,576, 6156, 15488, 5212
2025-09-03 13:28:35,577, 9528, -22944, 5496
2025-09-03 13:28:35,578, 12340, -25632, 3672
2025-09-03 13:28:35,579, 2440, 984, 5220
2025-09-03 13:28:35,580, -4724, 32764, 13900
2025-09-03 13:28:35,581, 5932, 6616, 5064
2025-09-03 13:28:36,582, 8296, -27084, 8812
2025-09-03 13:28:36,583, 11620, -28156, -128
2025-09-03 13:28:36,584, 3024, -5348, 3268
2025-09-03 13:28:36,585, 3024, -5348, 3268
2025-09-03 13:28:36,586, -9868, 27464, 11304
2025-09-03 13:28:36,587, -4468, 28044, 10032
2025-09-03 13:28:36,588, 5208, -11304, 14172
2025-09-03 13:28:36,589, 11928, -32768, -2516
2025-09-03 13:28:36,590, 6096, -18380, 104
2025-09-03 13:28:36,591, -1912, 10524, 7680
2025-09-03 13:28:37,592, -5448, 32764, 6436
2025-09-03 13:28:37,593, 5128, 6076, 4360
2025-09-03 13:28:37,594, 7128, -23188, 9144
2025-09-03 13:28:37,595, 11300, -29480, 1980
2025-09-03 13:28:37,596, 5712, -8232, 4108
2025-09-03 13:28:37,597, -3492, 20940, 10624
2025-09-03 13:28:37,598, -788, 28860, 8692
2025-09-03 13:28:37,599, 8560, -6380, 10820
2025-09-03 13:28:37,600, 10240, -31512, 3788
2025-09-03 13:28:37,601, 8852, -19852, -268
2025-09-03 13:28:38,602, 408, 7300, 4396
2025-09-03 13:28:38,603, -5460, 32764, 9068
2025-09-03 13:28:38,604, 8932, 2152, 5516
2025-09-03 13:28:38,605, 8688, -27872, 7148
2025-09-03 13:28:38,606, 11844, -23864, -1184
2025-09-03 13:28:38,607, 1780, 2956, 4792
2025-09-03 13:28:38,608, -2852, 32764, 13476
